City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Date
100,Muana,BR,-1.53,-49.22,92.23,48,1,5.97,clear sky,2020-08-30 15:40:25
101,Hambantota,LK,6.12,81.12,82.4,78,75,8.05,light rain,2020-08-30 15:40:25
102,Kuching,MY,1.55,110.33,78.8,88,20,4.7,few clouds,2020-08-30 15:40:08
103,Husavik,IS,66.04,-17.34,62.6,55,75,25.28,broken clouds,2020-08-30 15:40:26
104,Udachnyy,RU,66.42,112.4,50.0,57,90,5.93,haze,2020-08-30 15:36:11
105,Forrest City,US,35.01,-90.79,77.0,94,90,4.7,overcast clouds,2020-08-30 15:40:26
106,Khvorostyanka,RU,52.61,48.96,64.72,58,60,6.29,broken clouds,2020-08-30 15:40:26
107,Luderitz,NA,-26.65,15.16,60.71,34,87,34.58,overcast clouds,2020-08-30 15:35:52
108,Beira,MZ,-19.84,34.84,77.0,88,0,14.99,haze,2020-08-30 15:40:27
109,Peniche,PT,39.36,-9.38,75.99,60,0,17.0,clear sky,2020-08-30 15:35:53
110,Okato,NZ,-39.2,173.88,45.0,92,56,11.41,broken clouds,2020-08-30 15:40:27
111,Avarua,CK,-21.21,-159.78,73.4,78,24,9.17,few clouds,2020-08-30 15:40:27
112,Tasiilaq,GL,65.61,-37.64,48.2,61,100,3.36,overcast clouds,2020-08-30 15:40:28
113,Svetlogorsk,BY,52.63,29.73,76.87,66,0,9.69,clear sky,2020-08-30 15:40:28
114,Chokurdakh,RU,70.63,147.92,42.26,79,100,6.4,overcast clouds,2020-08-30 15:40:28
115,Yerazgavors,AM,40.7,43.75,77.0,36,0,9.17,clear sky,2020-08-30 15:40:28
116,Kurilsk,RU,45.23,147.88,49.6,84,99,1.25,overcast clouds,2020-08-30 15:40:29
117,Tuktoyaktuk,CA,69.45,-133.04,39.2,93,90,13.87,mist,2020-08-30 15:40:29
118,Port Hardy,CA,50.7,-127.42,53.6,87,75,4.7,broken clouds,2020-08-30 15:35:58
119,Ponta Do Sol,PT,32.67,-17.1,78.01,38,3,3.44,clear sky,2020-08-30 15:40:29
120,Kreuztal,DE,50.97,7.98,68.0,61,100,4.0,overcast clouds,2020-08-30 15:40:30
121,Lompoc,US,34.64,-120.46,57.2,93,90,2.62,mist,2020-08-30 15:36:57
122,Roros,NO,62.57,11.38,46.4,65,75,16.11,broken clouds,2020-08-30 15:40:30
123,Nalut,LY,30.33,10.85,105.55,8,0,3.8,clear sky,2020-08-30 15:40:30
124,Hithadhoo,MV,-0.6,73.08,81.9,77,15,14.12,light rain,2020-08-30 15:40:31
125,Kodiak,US,57.79,-152.41,48.2,87,20,3.36,few clouds,2020-08-30 15:40:31
126,Thinadhoo,MV,0.53,72.93,82.62,75,6,13.13,light rain,2020-08-30 15:40:31
127,Choya,RU,52.01,86.55,54.12,80,0,2.84,clear sky,2020-08-30 15:40:31
128,Bud,US,39.45,-86.18,72.0,60,1,7.4,clear sky,2020-08-30 15:40:32
129,Usinsk,RU,65.99,57.53,50.77,96,100,10.0,moderate rain,2020-08-30 15:40:32
130,Lavrentiya,RU,65.58,-171.0,43.57,80,64,17.09,broken clouds,2020-08-30 15:40:33
131,Tuatapere,NZ,-46.13,167.68,45.0,72,41,11.01,scattered clouds,2020-08-30 15:40:33
132,Ko Samui,TH,9.54,99.94,86.0,74,20,2.24,few clouds,2020-08-30 15:40:33
133,Tigil,RU,57.8,158.67,42.62,92,58,5.68,broken clouds,2020-08-30 15:40:33
134,Dorado,PR,18.46,-66.27,88.0,70,75,13.87,broken clouds,2020-08-30 15:40:34
135,Katherine,AU,-14.47,132.27,80.6,44,97,10.29,overcast clouds,2020-08-30 15:40:34
136,Aklavik,CA,68.22,-135.01,42.8,93,90,8.05,overcast clouds,2020-08-30 15:36:02
137,Kloulklubed,PW,7.04,134.26,75.2,94,75,7.0,broken clouds,2020-08-30 15:40:34
138,Maceio,BR,-9.67,-35.74,82.4,61,40,12.75,scattered clouds,2020-08-30 15:40:20
139,Sorland,NO,67.67,12.69,50.0,61,40,6.93,scattered clouds,2020-08-30 15:40:35
140,Albany,US,42.6,-73.97,71.01,62,25,1.01,scattered clouds,2020-08-30 15:40:35
141,Khatanga,RU,71.97,102.5,47.53,80,100,8.1,overcast clouds,2020-08-30 15:40:35
142,Soe,ID,-9.86,124.28,63.09,100,41,4.63,scattered clouds,2020-08-30 15:40:35
143,Tessalit,ML,20.2,1.01,94.14,36,59,12.57,broken clouds,2020-08-30 15:40:36
144,Powell,US,40.16,-83.08,73.99,56,1,6.93,clear sky,2020-08-30 15:40:36
145,Saint-Philippe,RE,-21.36,55.77,71.6,73,25,21.92,light rain,2020-08-30 15:40:36
146,Hay River,CA,60.82,-115.8,48.2,70,40,12.75,scattered clouds,2020-08-30 15:36:27
